City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,butaritari,3.0707,172.7902,28.14,77,96,4.49,KI,1682768152
1,nikolskoye,59.7035,30.7861,7.94,57,88,3.74,RU,1682768152
2,jamestown,42.097,-79.2353,8.73,90,100,5.14,US,1682768152
3,the valley,18.217,-63.0578,28.39,94,40,3.6,AI,1682768152
4,khatanga,71.9667,102.5,-2.03,92,100,5.86,RU,1682768152
5,bluff,-46.6,168.3333,11.56,82,8,5.65,NZ,1682768152
6,letnica,51.8981,15.333,13.62,39,100,4.44,PL,1682768153
7,tuktoyaktuk,69.4541,-133.0374,-18.0,100,82,1.56,CA,1682768153
8,vaini,-21.2,-175.2,25.09,94,75,3.09,TO,1682768153
9,naco,31.3347,-109.9483,12.11,31,5,2.53,MX,1682768153
10,hilo,19.7297,-155.09,22.93,90,0,2.57,US,1682768153
11,san jose,37.3394,-121.895,14.11,84,100,12.07,US,1682767571
12,alghero,40.5589,8.3181,29.05,34,0,2.57,IT,1682768153
13,kodiak,57.79,-152.4072,2.73,87,100,1.54,US,1682767960
14,atuona,-9.8,-139.0333,27.39,74,9,6.45,PF,1682768154
15,rikitea,-23.1203,-134.9692,25.04,71,69,3.31,PF,1682768154
16,grindavik,63.8424,-22.4338,2.97,55,0,5.66,IS,1682768154
17,kununurra,-15.7667,128.7333,24.99,73,90,0.0,AU,1682768154
18,brae,60.3964,-1.353,5.04,60,94,8.01,GB,1682768154
19,vigrestad,58.5667,5.7,9.03,64,21,11.05,NO,1682768154
20,ushuaia,-54.8,-68.3,2.81,87,100,5.66,AR,1682768155
21,vardo,70.3705,31.1107,0.99,80,75,13.38,NO,1682768155
22,marion,39.7684,-86.1555,7.54,94,75,1.54,US,1682768155
23,fukue,32.6881,128.8419,15.31,83,100,10.32,JP,1682768155
24,mataura,-46.1927,168.8643,11.38,91,31,1.56,NZ,1682768155
25,fort nelson,58.8053,-122.7002,2.19,58,20,1.54,CA,1682768155
26,hay river,60.8156,-115.7999,-0.01,59,20,2.06,CA,1682768156
27,monte patria,-30.6919,-70.9467,16.18,70,7,0.27,CL,1682768156
28,alice town,25.7167,-79.3,26.95,76,48,4.68,BS,1682768156
29,ewa beach,21.3156,-158.0072,22.97,85,0,1.54,US,1682767915
30,cherskiy,68.75,161.3,-12.91,98,100,1.12,RU,1682768156
31,matamoros,25.5333,-103.25,19.06,32,0,5.66,MX,1682768156
32,port hardy,50.6996,-127.4199,4.1,100,40,1.54,CA,1682768156
33,omboue,-1.5746,9.2618,31.14,61,96,1.41,GA,1682768157
34,mago,53.2514,140.1822,-1.48,89,90,1.66,RU,1682768157
35,upernavik,72.7868,-56.1549,-5.25,64,100,0.74,GL,1682768157
36,dingle,10.9995,122.6711,27.65,77,74,3.35,PH,1682768157
37,troitskoye,52.9821,84.6757,14.17,41,100,3.96,RU,1682768157
38,diego de almagro,-26.3667,-70.05,13.22,61,3,0.96,CL,1682768157
39,rocha,-34.4833,-54.3333,16.36,72,0,3.94,UY,1682768157
40,barrow,71.2906,-156.7887,-13.99,78,100,7.72,US,1682767984
41,lompoc,34.6391,-120.4579,11.08,89,100,2.06,US,1682767879
42,vao,-22.6667,167.4833,23.8,71,9,5.06,NC,1682768158
43,victor harbor,-35.5667,138.6167,10.93,72,73,2.11,AU,1682768158
44,college,64.8569,-147.8028,2.17,74,20,0.0,US,1682768158
45,nouadhibou,20.931,-17.0347,26.99,47,0,8.23,MR,1682768158
46,busselton,-33.65,115.3333,16.47,71,24,2.64,AU,1682768158
47,dunedin,-45.8742,170.5036,9.89,98,0,1.87,NZ,1682768158
48,sorland,67.667,12.6934,5.92,66,100,4.25,NO,1682768159
49,nipawin,53.3668,-104.0009,2.02,87,0,4.63,CA,1682768159
50,victoria,22.2855,114.1577,26.29,82,98,8.05,HK,1682767876
51,kolokani,13.5728,-8.0339,38.21,9,2,2.83,ML,1682768159
52,vila franca do campo,37.7167,-25.4333,18.23,80,100,4.06,PT,1682768159
53,acari,-15.4311,-74.6158,22.23,81,97,1.53,PE,1682768159
54,teya,60.3778,92.6267,-2.5,80,100,4.55,RU,1682768159
55,sola,-13.8833,167.55,27.9,73,10,3.65,VU,1682768160
56,pevek,69.7008,170.3133,-21.32,99,50,1.93,RU,1682768160
57,vila,42.0304,-8.1588,18.17,73,91,2.19,PT,1682768160
58,tiznit,29.5833,-9.5,30.66,22,45,2.73,MA,1682768160
59,chuy,-33.6971,-53.4616,18.39,77,4,5.16,UY,1682768160
60,port alfred,-33.5906,26.891,22.88,61,26,4.02,ZA,1682768160
61,longyearbyen,78.2186,15.6401,0.91,75,0,4.12,SJ,1682768160
62,bengkulu,-3.8004,102.2655,26.27,86,91,1.54,ID,1682768160
63,inhambane,-23.865,35.3833,29.99,51,40,6.17,MZ,1682768161
64,tombouctou,20.0,-3.0,39.89,4,1,2.66,ML,1682768161
65,honningsvag,70.9821,25.9704,2.86,60,48,10.8,NO,1682768161
66,mutata,7.2441,-76.4356,24.0,92,100,0.83,CO,1682768161
67,grafton,42.207,-71.6856,10.01,75,100,2.06,US,1682768161
68,qaanaaq,77.484,-69.3632,-7.33,80,95,2.69,GL,1682768161
69,san patricio,28.017,-97.5169,16.58,69,0,7.76,US,1682768162
70,collinsville,38.6703,-89.9846,12.79,83,0,2.24,US,1682768162
71,kapoeta,4.7717,33.5903,20.44,95,100,3.2,SS,1682768162
72,cape town,-33.9258,18.4232,21.73,56,75,4.63,ZA,1682767954
73,isangel,-19.55,169.2667,24.45,73,1,0.89,VU,1682768162
74,lata,40.1629,-8.3327,20.6,54,89,4.08,PT,1682768162
75,tasiilaq,65.6145,-37.6368,-1.91,75,100,0.72,GL,1682768163
76,georgetown,5.4112,100.3354,31.64,80,40,5.14,MY,1682768163
77,avarua,-21.2078,-159.775,23.03,73,83,2.06,CK,1682768163
78,anjozorobe,-18.4,47.8667,21.17,61,14,3.45,MG,1682768163
79,bonavista,48.6499,-53.1147,0.56,88,100,13.02,CA,1682767902
80,leningradskiy,69.3833,178.4167,-22.58,100,73,2.2,RU,1682768163
81,hobart,-42.8794,147.3294,11.92,63,0,4.12,AU,1682768163
82,severo-kurilsk,50.6789,156.125,0.32,92,98,5.46,RU,1682768164
83,albany,42.6001,-73.9662,8.13,87,100,2.68,US,1682768141
84,bambous virieux,-20.3428,57.7575,28.14,65,20,3.09,MU,1682768164
85,bambanglipuro,-7.95,110.2833,25.27,93,100,0.48,ID,1682768164
86,torbay,47.6666,-52.7314,2.44,95,100,9.77,CA,1682768164
87,coahuayana,18.7333,-103.6833,18.15,78,3,1.44,MX,1682768164
88,saint anthony,45.0205,-93.218,4.52,93,100,4.12,US,1682768164
89,punta arenas,-53.15,-70.9167,4.06,81,75,6.69,CL,1682768118
90,bac lieu,9.285,105.7244,29.27,73,97,5.27,VN,1682768165
91,kapaa,22.0752,-159.319,24.18,89,75,7.2,US,1682768165
92,esna,25.2934,32.554,28.01,13,0,8.26,EG,1682768165
93,muisne,0.6,-80.0333,25.39,85,100,1.59,EC,1682768165
94,shakawe,-18.3667,21.85,33.62,17,19,3.95,BW,1682768166
95,wilmington,34.2257,-77.9447,21.03,89,20,2.57,US,1682767921
96,maldonado,-34.6667,-54.9167,17.85,60,0,5.49,UY,1682768166
97,sao joao da barra,-21.6403,-41.0511,23.05,81,82,3.23,BR,1682768166
98,dashitou,43.3067,128.5114,4.73,96,100,2.09,CN,1682768166
99,ulladulla,-35.35,150.4667,14.32,99,100,2.91,AU,1682768166
100,mana,5.6592,-53.7767,27.34,80,14,4.1,GF,1682768166
101,yelan,50.949,43.7378,23.01,52,93,2.58,RU,1682768167
102,coihaique,-45.5752,-72.0662,6.34,81,75,2.06,CL,1682767966
103,moron,-34.6534,-58.6198,20.01,80,1,4.41,AR,1682768167
104,los llanos de aridane,28.6585,-17.9182,22.29,69,0,4.63,ES,1682768167
105,hvide sande,56.0045,8.1294,9.49,64,50,9.32,DK,1682768167
106,bredasdorp,-34.5322,20.0403,18.25,52,100,5.31,ZA,1682768167
107,sobolevo,54.4299,31.8996,11.59,37,4,3.18,RU,1682768168
108,fortuna,40.5982,-124.1573,11.07,95,6,0.45,US,1682768168
109,vestmannaeyjar,63.4427,-20.2734,4.55,65,40,4.12,IS,1682768168
110,nexo,55.0607,15.1306,13.05,73,96,2.62,DK,1682768168
111,bethanien,-26.502,17.1583,28.51,12,0,1.28,NA,1682768168
112,hofn,64.2539,-15.2082,1.25,45,19,6.24,IS,1682768168
113,sioux lookout,50.1001,-91.917,1.04,75,75,1.54,CA,1682768168
114,ambon,-3.6954,128.1814,29.42,85,20,3.09,ID,1682768169
115,chokurdakh,70.6333,147.9167,-3.54,92,100,3.03,RU,1682768169
116,tiksi,71.6872,128.8694,-4.17,90,89,2.88,RU,1682768169
117,douala,4.0483,9.7043,24.95,78,75,2.57,CM,1682768169
118,meulaboh,4.1363,96.1285,26.99,80,100,1.07,ID,1682768169
119,ahipara,-35.1667,173.1667,17.06,89,100,9.98,NZ,1682768169
120,dikson,73.5069,80.5464,-5.87,87,100,5.35,RU,1682768169
121,mar del plata,-38.0023,-57.5575,20.05,83,0,5.14,AR,1682768170
122,yellowknife,62.456,-114.3525,0.31,69,20,1.54,CA,1682767907
123,pilar,-9.5972,-35.9567,27.96,72,99,0.52,BR,1682768170
124,moramanga,-18.9333,48.2,22.0,68,17,2.91,MG,1682768170
125,chulman,56.8479,124.9104,-6.54,94,15,1.31,RU,1682768170
126,kailua,21.4022,-157.7394,22.99,95,53,0.45,US,1682768170
127,bathsheba,13.2167,-59.5167,27.34,83,20,4.12,BB,1682768170
128,saint-philippe,-21.3585,55.7679,27.77,75,30,4.22,RE,1682768170
129,nanortalik,60.1432,-45.2371,1.23,54,0,0.95,GL,1682768171
130,carnarvon,-24.8667,113.6333,25.1,55,100,4.3,AU,1682768171
131,san cristobal,7.7669,-72.225,19.1,78,97,1.28,VE,1682768171
132,shimoda,34.6667,138.95,17.84,92,97,4.4,JP,1682768171
133,luanda,-8.8368,13.2343,30.0,74,75,5.14,AO,1682767943
134,kaitangata,-46.2817,169.8464,8.29,97,5,2.1,NZ,1682768171
135,souillac,-20.5167,57.5167,28.21,65,20,3.09,MU,1682768172
136,batagay,67.6333,134.6333,-2.65,91,100,0.75,RU,1682768172
137,adrar,20.5022,-10.0711,38.1,5,0,3.39,MR,1682768172
138,inta,66.0317,60.1659,-2.21,77,100,4.8,RU,1682768172
139,rawson,-43.3002,-65.1023,16.16,44,0,10.07,AR,1682768172
140,kruisfontein,-34.0033,24.7314,18.76,59,84,9.88,ZA,1682768172
141,udachnyy,66.4167,112.4,1.92,86,100,6.56,RU,1682768172
142,sitka,57.0531,-135.33,7.94,93,100,0.0,US,1682768172
143,finschhafen,-6.6024,147.8681,24.88,97,100,1.2,PG,1682768173
144,nishihara,26.1842,127.7558,26.03,88,75,5.14,JP,1682768173
145,asau,46.4333,26.4,13.49,44,35,2.62,RO,1682768173
146,ribeira grande,38.5167,-28.7,18.22,72,20,5.36,PT,1682768173
147,barpali,21.2,83.5833,36.28,25,65,0.6,IN,1682768173
148,suluq,31.6682,20.2521,23.66,27,15,6.53,LY,1682768173
149,thompson,55.7435,-97.8558,-0.91,80,75,2.06,CA,1682768173
150,west wendover,40.7391,-114.0733,5.56,39,0,0.0,US,1682768174
151,port augusta,-32.5,137.7667,13.75,59,49,1.85,AU,1682768174
152,husavik,66.0449,-17.3389,-2.21,57,52,4.93,IS,1682768174
153,surgut,61.25,73.4167,-1.9,74,75,9.0,RU,1682768174
154,tateyama,34.9833,139.8667,18.82,89,90,8.8,JP,1682768174
155,nanyamba,-10.6833,39.8333,23.43,92,98,1.7,TZ,1682768174
156,kampong thum,12.7111,104.8887,30.92,55,48,1.6,KH,1682768174
157,broome,42.2506,-75.833,7.21,95,100,5.66,US,1682768175
158,santiago del estero,-27.7951,-64.2615,19.35,74,0,4.85,AR,1682767883
159,klaksvik,62.2266,-6.589,2.51,62,100,11.08,FO,1682768175
160,tura,25.5198,90.2201,27.68,45,80,1.76,IN,1682768175
161,qaqortoq,60.7167,-46.0333,1.31,49,0,2.12,GL,1682768175
162,kjopsvik,68.097,16.3742,1.93,100,100,3.13,NO,1682768175
163,wanning,18.8003,110.3967,26.47,84,38,2.98,CN,1682768175
164,tafresh,34.692,50.013,22.48,16,46,0.36,IR,1682768176
165,pisco,-13.7,-76.2167,20.03,88,84,5.14,PE,1682768176
166,veraval,20.9,70.3667,26.3,66,74,3.59,IN,1682768176
167,mankono,8.0586,-6.1897,34.28,39,32,2.51,CI,1682768176
168,pamekasan,-7.1568,113.4746,26.13,84,100,1.24,ID,1682768176
169,kattivakkam,13.2167,80.3167,32.05,82,79,6.15,IN,1682768176
170,east london,-33.0153,27.9116,23.52,53,20,5.66,ZA,1682768130
171,urubamba,-13.3047,-72.1158,7.5,85,89,0.89,PE,1682768177
172,puerto ayora,-0.7393,-90.3518,24.75,100,100,0.45,EC,1682768177
173,svetlogorsk,52.6333,29.7333,13.12,35,7,2.4,BY,1682768177
174,katsuura,35.1333,140.3,18.39,89,91,7.45,JP,1682768177
175,olafsvik,64.8945,-23.7142,0.48,61,63,10.02,IS,1682768177
176,tessalit,20.1986,1.0114,39.35,7,0,4.58,ML,1682768177
177,saskylakh,71.9167,114.0833,-4.13,95,100,1.82,RU,1682768178
178,arraial do cabo,-22.9661,-42.0278,22.92,83,75,1.54,BR,1682768171
179,bellavista,-7.0561,-76.5911,21.3,100,100,0.05,PE,1682768178
180,yulara,-25.2406,130.9889,14.95,38,0,4.92,AU,1682768178
181,biak,-0.9131,122.8766,25.85,84,90,1.25,ID,1682768178
182,bloomfield,40.8068,-74.1854,10.59,93,100,7.2,US,1682768043
183,khani,41.9563,42.9566,7.76,98,100,1.26,GE,1682768178
184,cidreira,-30.1811,-50.2056,20.3,72,0,6.04,BR,1682768179
185,marzuq,14.4,46.4667,30.23,39,52,6.41,YE,1682768179
186,makakilo city,21.3469,-158.0858,22.18,84,0,1.54,US,1682768179
187,ushirombo,-3.4919,31.9639,24.79,65,99,1.5,TZ,1682768179
188,luderitz,-26.6481,15.1594,22.95,44,0,10.39,NA,1682768179
189,kaspiyskiy,45.3929,47.3707,17.79,72,86,6.76,RU,1682768179
190,mont-dore,-22.2833,166.5833,24.44,99,30,0.8,NC,1682768179
191,waipawa,-41.4122,175.5153,9.69,96,100,2.24,NZ,1682768180
192,aginskoye,51.1,114.53,6.63,34,93,2.33,RU,1682768180
193,henties bay,-22.116,14.2845,18.52,70,4,4.97,NA,1682768180
194,peniche,39.3558,-9.3811,18.39,93,33,4.4,PT,1682768180
195,mehamn,71.0357,27.8492,2.95,69,27,10.8,NO,1682768180
196,portland,45.5234,-122.6762,17.12,71,0,3.6,US,1682767866
197,anadyr,64.75,177.4833,-15.72,85,0,1.0,RU,1682768180
198,belaya gora,68.5333,146.4167,-2.44,82,100,0.77,RU,1682768181
199,mahibadhoo,3.7833,72.9667,28.99,73,96,4.39,MV,1682768181
200,gikongoro,-2.464,29.5739,19.28,84,99,1.33,RW,1682768181
201,ust-omchug,61.15,149.6333,-11.49,97,54,0.74,RU,1682768181
202,norman wells,65.282,-126.8329,-5.98,93,75,1.03,CA,1682768181
203,talnakh,69.4865,88.3972,-2.66,76,3,5.11,RU,1682768181
204,westport,41.1415,-73.3579,10.61,87,100,9.77,US,1682768181
205,lokosovo,61.1333,74.8167,-1.5,81,100,8.05,RU,1682768181
206,namie,37.4833,141.0,19.29,80,100,0.45,JP,1682768182
207,hami,42.8,93.45,24.19,7,6,2.74,CN,1682768182
208,soverato,38.685,16.5499,23.42,42,43,1.67,IT,1682768182
209,karratha,-20.7377,116.8463,27.06,50,61,3.15,AU,1682768182
210,uruzgan,32.8333,66.0,17.29,50,50,6.24,AF,1682768182
211,ichinoseki,38.9167,141.1333,14.93,91,100,2.13,JP,1682768182
212,sakakah,29.9697,40.2064,25.76,23,0,7.51,SA,1682768183
213,guerrero negro,27.9769,-114.0611,13.73,89,97,4.05,MX,1682768183
214,umm kaddadah,13.6017,26.6876,35.83,7,6,6.77,SD,1682768183
215,garowe,8.4054,48.4845,34.59,25,18,2.14,SO,1682768183
216,hambantota,6.1241,81.1185,27.01,79,95,3.31,LK,1682768183
217,bignona,12.8103,-16.2264,30.02,28,6,2.01,SN,1682768183
218,pitimbu,-7.4706,-34.8086,28.33,76,52,2.83,BR,1682768154
219,saldanha,-33.0117,17.9442,21.03,77,67,5.81,ZA,1682768184
220,port hedland,-20.3167,118.5667,27.03,29,19,3.09,AU,1682768184
221,axim,4.8699,-2.2405,32.64,55,80,2.28,GH,1682768184
222,abilene,32.4487,-99.7331,9.32,65,0,4.63,US,1682768177
223,tsiroanomandidy,-18.7667,46.0333,26.45,44,0,1.19,MG,1682768184
224,yumen,40.2833,97.2,19.26,8,4,2.94,CN,1682768184
225,aromashevo,56.8602,68.6375,9.49,32,17,4.83,RU,1682768184
226,hirara,24.8,125.2833,23.92,88,75,5.14,JP,1682768185
227,usinsk,65.9939,57.5281,-0.67,70,96,5.52,RU,1682768185
228,namibe,-15.1961,12.1522,25.61,82,94,5.08,AO,1682768185
229,sao jose da coroa grande,-8.8978,-35.1478,29.55,66,95,1.61,BR,1682768185
230,salalah,17.0151,54.0924,32.05,62,20,6.69,OM,1682768185
231,marawi,7.9986,124.2928,22.04,94,100,0.14,PH,1682768185
232,khandyga,62.6667,135.6,-0.32,88,100,0.68,RU,1682768185
233,castro,-24.7911,-50.0119,15.93,82,38,2.63,BR,1682768186
234,ponta do sol,32.6667,-17.1,27.06,65,100,1.88,PT,1682768186
235,san andres,12.5847,-81.7006,26.01,83,20,1.54,CO,1682768186
236,port elizabeth,-33.918,25.5701,22.16,63,40,10.8,ZA,1682768186
237,phalombe,-15.8064,35.6507,25.76,48,3,1.88,MW,1682768186
238,ketchikan,55.3422,-131.6461,8.26,87,0,5.14,US,1682768186
239,new norfolk,-42.7826,147.0587,11.72,57,35,1.28,AU,1682768186
240,ramon,16.7842,121.535,27.3,77,45,1.68,PH,1682768187
241,poum,-20.2333,164.0167,24.49,71,55,4.5,NC,1682768187
242,swan hill,-35.3378,143.5544,11.39,45,56,3.09,AU,1682768187
243,noumea,-22.2763,166.4572,24.44,99,28,0.23,NC,1682767803
244,mahebourg,-20.4081,57.7,28.16,65,20,3.09,MU,1682768187
245,lodwar,3.1191,35.5973,31.19,46,100,3.53,KE,1682768187
246,berlevag,70.8578,29.0864,2.97,70,75,11.32,NO,1682768187
247,faanui,-16.4833,-151.75,27.49,80,55,6.84,PF,1682768187
248,bac giang,21.2667,106.2,26.04,70,100,5.92,VN,1682768188
249,kalabo,-14.97,22.6814,30.5,22,46,3.83,ZM,1682768188
250,mount isa,-20.7333,139.5,18.87,45,40,5.14,AU,1682768188
251,hermanus,-34.4187,19.2345,19.33,67,83,3.83,ZA,1682768188
252,north myrtle beach,33.816,-78.68,21.12,98,40,1.54,US,1682768087
253,roald,62.5833,6.1333,6.08,61,40,6.17,NO,1682768188
254,baker city,44.7749,-117.8344,10.33,87,0,0.0,US,1682768188
255,san quintin,30.4833,-115.95,13.67,92,15,3.45,MX,1682768189
256,ballina,-28.8667,153.5667,19.32,78,99,5.02,AU,1682768189
257,kungurtug,50.5994,97.5228,8.89,65,86,0.41,RU,1682768189
258,bossangoa,6.4926,17.4552,27.53,63,100,2.22,CF,1682768189
259,marsh harbour,26.5412,-77.0636,25.79,78,15,5.84,BS,1682768189
260,unai,-16.3575,-46.9061,25.71,62,0,1.59,BR,1682768189
261,bireun,5.203,96.7009,28.06,72,100,0.24,ID,1682768189
262,bethel,41.3712,-73.414,9.19,88,100,3.6,US,1682768190
263,tabuk,17.4189,121.4443,25.78,83,36,1.49,PH,1682768190
264,clyde river,70.4692,-68.5914,-6.87,86,100,5.66,CA,1682768190
265,george,-33.963,22.4617,18.75,59,40,6.69,ZA,1682768190
266,poyarkovo,49.6,128.6833,9.82,39,100,2.4,RU,1682768190
267,bria,6.5423,21.9863,36.85,24,39,1.72,CF,1682768190
268,buala,-8.145,159.5921,27.84,81,50,4.79,SB,1682768191
269,bougouni,11.417,-7.479,38.17,20,0,2.5,ML,1682768191
270,iqaluit,63.7506,-68.5145,-2.15,86,100,3.09,CA,1682768191
271,kaeo,-35.1,173.7833,17.32,95,100,10.17,NZ,1682768191
272,zhigansk,66.7697,123.3711,-1.41,95,100,1.21,RU,1682768191
273,bording,56.1465,9.2753,10.55,57,75,7.72,DK,1682768191
274,nezhinka,51.7676,55.3694,26.09,18,0,3.13,RU,1682768191
275,zhanakorgan,43.9098,67.2495,32.26,10,44,3.75,KZ,1682768192
276,alva,56.1528,-3.8051,7.96,86,100,1.79,GB,1682768192
277,bageshwar,29.85,79.7667,17.39,78,100,2.0,IN,1682768011
278,tairua,-37.0167,175.85,16.7,93,100,9.26,NZ,1682768192
279,constitucion,-35.3333,-72.4167,14.68,97,86,7.17,CL,1682767966
280,bereda,43.2686,-7.5406,21.19,57,100,1.91,ES,1682768192
281,ostrovnoy,68.0531,39.5131,-0.55,81,77,15.04,RU,1682768192
282,opuwo,-18.0607,13.84,32.98,17,9,4.13,NA,1682768193
283,hithadhoo,-0.6,73.0833,28.16,73,100,2.91,MV,1682768193
284,puerto penasco,31.3167,-113.5333,22.42,50,1,3.08,MX,1682768193
285,nemuro,43.3236,145.575,5.13,99,100,3.06,JP,1682768193
286,talisayan,6.9872,121.9272,27.87,83,100,1.59,PH,1682768193
287,maun,-19.9833,23.4167,31.98,29,0,2.57,BW,1682768193
288,airai,-8.9266,125.4092,15.31,94,75,0.98,TL,1682768194
289,alice springs,-23.7,133.8833,12.75,67,0,5.81,AU,1682768194
290,fairlie,55.756,-4.8556,8.95,86,93,2.24,GB,1682768194
291,atasu,48.6814,71.6433,26.49,16,76,3.66,KZ,1682768194
292,kaka,37.3482,59.6143,34.45,6,94,4.4,TM,1682768194
293,havre-saint-pierre,50.2334,-63.5986,3.2,75,0,3.09,CA,1682768194
294,malanje,-9.5402,16.341,25.76,42,86,2.88,AO,1682768194
295,yagodnoye,62.55,149.6667,-13.04,99,63,1.4,RU,1682768194
296,lagoa,39.05,-27.9833,15.7,79,84,6.79,PT,1682768195
297,arrifes,37.7667,-25.7,17.14,82,20,3.6,PT,1682768195
298,pochutla,15.7432,-96.4661,22.12,83,15,1.65,MX,1682768195
299,concepcion,-36.827,-73.0498,15.89,88,75,4.63,CL,1682767933
300,ekhabi,53.5102,142.9671,-4.6,93,100,2.1,RU,1682768195
301,geraldton,-28.7667,114.6,18.23,68,21,4.63,AU,1682768195
302,kargasok,59.0556,80.8572,-1.24,70,51,11.74,RU,1682768195
303,lerwick,60.1545,-1.1494,7.0,58,89,7.92,GB,1682768195
304,lagos,6.5833,3.75,31.18,53,95,2.45,NG,1682767925
305,huntsville,34.7304,-86.5861,12.89,96,75,3.13,US,1682767937
306,lucapa,-8.4192,20.7447,26.09,52,100,2.78,AO,1682768196
307,fare,-16.7,-151.0167,27.49,79,67,5.97,PF,1682768196
308,medvedka,61.1629,46.387,9.1,78,100,5.78,RU,1682768197
309,monterey,36.2505,-121.2516,14.76,47,91,1.12,US,1682767919
310,cap malheureux,-19.9842,57.6142,27.48,66,0,5.91,MU,1682768197
311,verkhoyansk,67.5447,133.385,-1.49,90,100,1.38,RU,1682768197
312,ahuimanu,21.4447,-157.8378,22.84,91,20,0.45,US,1682768197
313,outjo,-20.1167,16.15,32.51,16,16,3.95,NA,1682768197
314,lebu,-37.6167,-73.65,13.37,89,50,8.46,CL,1682768197
315,kanonji,34.1167,133.65,18.64,94,100,5.91,JP,1682768197
316,gweta,-20.1833,25.2333,31.68,22,4,3.6,BW,1682768198
317,bilibino,68.0546,166.4372,-13.08,92,33,1.97,RU,1682768198
318,revda,56.801,59.9303,15.26,25,4,1.04,RU,1682768198
319,livingston,55.9029,-3.5226,7.14,91,100,5.66,GB,1682768198
320,bay saint louis,30.3088,-89.33,20.57,98,85,0.77,US,1682768198
321,el alto,-4.2714,-81.2147,23.82,84,96,2.26,PE,1682768198
322,pocatello,42.8713,-112.4455,8.15,56,0,2.68,US,1682768198
323,novo aripuana,-5.1206,-60.3797,26.58,84,65,0.99,BR,1682768199
324,kilindoni,-7.9139,39.6668,25.61,86,100,6.69,TZ,1682768199
325,taoudenni,22.6783,-3.9836,41.43,6,0,2.47,ML,1682768199
326,zalantun,48.0,122.7167,7.46,55,100,2.74,CN,1682768199
327,half moon bay,37.4636,-122.4286,13.99,92,100,3.6,US,1682768199
328,pandan,14.0453,124.1694,28.98,80,11,5.69,PH,1682768199
329,vostok,46.4856,135.8833,5.45,80,100,1.91,RU,1682768200
330,kahului,20.8947,-156.47,23.8,78,0,2.06,US,1682767997
331,dryden,49.7833,-92.7503,1.16,75,100,1.54,CA,1682768200
332,avera,33.194,-82.5271,13.73,82,0,1.91,US,1682768200
333,aksu,41.1231,80.2644,24.42,9,85,6.75,CN,1682768200
334,tecoanapa,16.5167,-98.75,22.03,78,0,1.22,MX,1682768200
335,shaoguan,24.8,113.5833,18.87,71,100,1.03,CN,1682768200
336,la primavera,5.4906,-70.4092,25.85,75,99,0.94,CO,1682768200
337,logan,41.7355,-111.8344,8.3,63,0,1.79,US,1682768008
338,kavaratti,10.5669,72.642,29.11,73,98,3.82,IN,1682768201
339,bang saphan,11.2126,99.5117,27.78,80,33,1.45,TH,1682768201
340,ennis,52.8436,-8.9864,15.96,72,75,5.66,IE,1682768201
341,srednekolymsk,67.45,153.6833,-2.94,81,100,1.22,RU,1682768201
342,dawei,14.0833,98.2,28.9,70,47,1.62,MM,1682768201
343,stornoway,58.2093,-6.3865,8.98,58,20,4.12,GB,1682768201
344,nogliki,51.8333,143.1667,-2.58,90,20,1.82,RU,1682768202
345,messina,38.1933,15.5497,24.75,44,20,6.17,IT,1682768202
346,chalons-en-champagne,48.9539,4.3672,14.57,77,90,3.93,FR,1682768202
347,narsaq,60.9167,-46.05,6.12,55,0,2.02,GL,1682768202
348,ondo,7.1,4.8333,31.73,55,97,0.93,NG,1682768202
349,catio,11.2833,-15.25,34.16,35,59,4.68,GW,1682768202
350,bilma,18.6853,12.9164,39.52,7,2,6.79,NE,1682768202
351,flin flon,54.7682,-101.865,1.91,93,100,4.12,CA,1682768203
352,beringovskiy,63.05,179.3167,-10.0,92,100,8.09,RU,1682768203
353,kaoma,-14.7833,24.8,29.6,23,17,3.07,ZM,1682768203
354,codrington,-38.2667,141.9667,9.73,77,78,3.22,AU,1682768203
355,dvinskoy,62.1535,45.1175,4.17,87,100,7.03,RU,1682768203
356,dire,12.2833,-10.9667,38.23,21,2,1.97,ML,1682768203
357,mardan,34.2019,72.0525,32.96,21,24,1.5,PK,1682768203
358,blagoyevo,63.3667,47.9167,4.22,67,100,6.41,RU,1682768204
359,merauke,-8.4667,140.3333,25.11,90,100,1.8,ID,1682768204
360,port shepstone,-30.7414,30.455,22.08,84,100,2.47,ZA,1682768204
